i,j,y,t,l,k,alpha,psi
9,44,-1.4302010750976801,0,0,2,-0.967421566101701,-0.6045853465832371
9,34,-0.8718831543363388,1,0,1,-0.967421566101701,-0.9084578685373851
9,34,-2.22708322543187,2,0,1,-0.967421566101701,-0.9084578685373851
9,34,-1.4688950879792153,3,0,1,-0.967421566101701,-0.9084578685373851
9,66,-0.3503930261182112,4,0,3,-0.967421566101701,-0.3487556955170447
10,18,-1.5371092724173834,0,2,0,0.0,-1.335177736118937
10,40,0.6253355709201849,1,2,2,0.0,-0.6045853465832371
10,40,-1.2663245126823026,2,2,2,0.0,-0.6045853465832371
10,89,0.8977737718893215,3,2,4,0.0,-0.11418529432142838
10,89,-1.8970162471801038,4,2,4,0.0,-0.11418529432142838
11,188,3.216640494770183,0,3,9,0.43072729929545744,1.3351777361189363
11,179,1.2832588862420122,1,3,9,0.43072729929545744,1.3351777361189363
11,179,2.5220333631271954,2,3,9,0.43072729929545744,1.3351777361189363
11,113,0.053459608324922026,3,3,5,0.43072729929545744,0.11418529432142824
11,188,1.652997471020021,4,3,9,0.43072729929545744,1.3351777361189363
12,168,0.556897694934633,0,3,8,0.43072729929545744,0.9084578685373853
12,114,-0.7850691258065072,1,3,5,0.43072729929545744,0.11418529432142824
12,113,0.35807608444963934,2,3,5,0.43072729929545744,0.11418529432142824
12,113,-1.0281962543081749,3,3,5,0.43072729929545744,0.11418529432142824
12,113,-0.4179579474960733,4,3,5,0.43072729929545744,0.11418529432142824
13,73,-2.0301117476669037,0,2,3,0.0,-0.3487556955170447
13,73,0.749611901347915,1,2,3,0.0,-0.3487556955170447
13,126,0.4502207506097933,2,2,6,0.0,0.3487556955170447
13,126,1.181210914764952,3,2,6,0.0,0.3487556955170447
13,126,0.5611334086141235,4,2,6,0.0,0.3487556955170447
14,102,0.8779678764247255,0,2,5,0.0,0.11418529432142824
14,46,0.22068465694111083,1,2,2,0.0,-0.6045853465832371
14,96,-0.8393404710247903,2,2,4,0.0,-0.11418529432142838
14,151,1.8543767419829595,3,2,7,0.0,0.6045853465832371
14,157,1.5931326123305025,4,2,7,0.0,0.6045853465832371
15,197,4.117147133374971,0,4,9,0.967421566101701,1.3351777361189363
15,122,2.148396894530051,1,4,6,0.967421566101701,0.3487556955170447
15,196,1.9260526173907246,2,4,9,0.967421566101701,1.3351777361189363
15,196,2.9744953860901315,3,4,9,0.967421566101701,1.3351777361189363
15,196,1.692931702316106,4,4,9,0.967421566101701,1.3351777361189363
16,107,-1.6439659845801644,0,1,5,-0.43072729929545756,0.11418529432142824
16,107,0.9286494704084209,1,1,5,-0.43072729929545756,0.11418529432142824
16,125,0.10809854773803626,2,1,6,-0.43072729929545756,0.3487556955170447
16,178,1.1794520035178186,3,1,9,-0.43072729929545756,1.3351777361189363
16,133,-1.1765904594744887,4,1,6,-0.43072729929545756,0.3487556955170447
17,7,-1.998477436272302,0,0,0,-0.967421566101701,-1.335177736118937
17,7,-3.722861996077725,1,0,0,-0.967421566101701,-1.335177736118937
17,140,-0.15823065380824194,2,0,7,-0.967421566101701,0.6045853465832371
17,174,-0.1474928029072306,3,0,8,-0.967421566101701,0.9084578685373853
17,174,-1.3848807472097178,4,0,8,-0.967421566101701,0.9084578685373853
18,127,0.7003656975487449,0,4,6,0.967421566101701,0.3487556955170447
18,127,1.7101393349057816,1,4,6,0.967421566101701,0.3487556955170447
18,156,0.10936205228939966,2,4,7,0.967421566101701,0.6045853465832371
18,182,2.4522322387188797,3,4,9,0.967421566101701,1.3351777361189363
18,168,2.887508102985487,4,4,8,0.967421566101701,0.9084578685373853
19,22,-1.6972766692222994,0,1,1,-0.43072729929545756,-0.9084578685373851
19,22,0.7180706852707657,1,1,1,-0.43072729929545756,-0.9084578685373851
19,22,-0.9848491746086582,2,1,1,-0.43072729929545756,-0.9084578685373851
19,22,-0.7229774659553919,3,1,1,-0.43072729929545756,-0.9084578685373851
19,23,-0.4861836548452786,4,1,1,-0.43072729929545756,-0.9084578685373851
20,83,0.2830833718080361,0,3,4,0.43072729929545744,-0.11418529432142838
20,105,0.018302890952148432,1,3,5,0.43072729929545744,0.11418529432142824
20,131,0.39577647607321526,2,3,6,0.43072729929545744,0.3487556955170447
20,114,1.119391998390475,3,3,5,0.43072729929545744,0.11418529432142824
20,114,1.4064362203125165,4,3,5,0.43072729929545744,0.11418529432142824
21,188,2.4597837778834464,0,2,9,0.0,1.3351777361189363
21,133,2.3311363847271807,1,2,6,0.0,0.3487556955170447
21,133,0.7041019422590734,2,2,6,0.0,0.3487556955170447
21,133,-0.7193438215657384,3,2,6,0.0,0.3487556955170447
21,133,-0.3219810550206201,4,2,6,0.0,0.3487556955170447
22,121,1.3038013828509092,0,3,6,0.43072729929545744,0.3487556955170447
22,84,2.017706270077926,1,3,4,0.43072729929545744,-0.11418529432142838
22,109,0.45730287687598975,2,3,5,0.43072729929545744,0.11418529432142824
22,109,0.5726238577163819,3,3,5,0.43072729929545744,0.11418529432142824
22,109,-0.5623973404042175,4,3,5,0.43072729929545744,0.11418529432142824
23,9,-1.7355126865919823,0,0,0,-0.967421566101701,-1.335177736118937
23,11,-2.4441016941413523,1,0,0,-0.967421566101701,-1.335177736118937
23,85,-0.8684550014885775,2,0,4,-0.967421566101701,-0.11418529432142838
23,85,-0.2874409694519723,3,0,4,-0.967421566101701,-0.11418529432142838
23,33,-4.026682746228392,4,0,1,-0.967421566101701,-0.9084578685373851
24,148,1.3521601408875534,0,4,7,0.967421566101701,0.6045853465832371
24,156,1.767724613740702,1,4,7,0.967421566101701,0.6045853465832371
24,156,1.3136467781585128,2,4,7,0.967421566101701,0.6045853465832371
24,156,1.6780152769661054,3,4,7,0.967421566101701,0.6045853465832371
24,179,3.1634342424648763,4,4,9,0.967421566101701,1.3351777361189363
25,45,0.17693590256469738,0,3,2,0.43072729929545744,-0.6045853465832371
25,55,1.9485315311392404,1,3,2,0.43072729929545744,-0.6045853465832371
25,160,2.1651160985683005,2,3,8,0.43072729929545744,0.9084578685373853
25,160,1.9161906786190963,3,3,8,0.43072729929545744,0.9084578685373853
25,160,2.8022866385735323,4,3,8,0.43072729929545744,0.9084578685373853
26,97,-0.056569465904452325,0,2,4,0.0,-0.11418529432142838
26,97,-1.3789703205813395,1,2,4,0.0,-0.11418529432142838
26,64,-0.8281120747127881,2,2,3,0.0,-0.3487556955170447
26,130,-1.9055286979083725,3,2,6,0.0,0.3487556955170447
26,130,1.7025045611745535,4,2,6,0.0,0.3487556955170447
27,181,2.1341660357732373,0,3,9,0.43072729929545744,1.3351777361189363
27,96,0.44964719701799793,1,3,4,0.43072729929545744,-0.11418529432142838
27,96,0.292152197315694,2,3,4,0.43072729929545744,-0.11418529432142838
27,96,0.24931940808007458,3,3,4,0.43072729929545744,-0.11418529432142838
27,124,-0.18082436965788795,4,3,6,0.43072729929545744,0.3487556955170447
28,65,-1.3187290650302779,0,3,3,0.43072729929545744,-0.3487556955170447
28,119,-0.44101086321967053,1,3,6,0.43072729929545744,0.3487556955170447
28,139,-0.11803918693313986,2,3,7,0.43072729929545744,0.6045853465832371
28,139,0.2101376132227868,3,3,7,0.43072729929545744,0.6045853465832371
28,139,-1.167617032768378,4,3,7,0.43072729929545744,0.6045853465832371
29,0,-0.5286207364250541,0,0,0,-0.967421566101701,-1.335177736118937
29,91,-2.2812155409309187,1,0,4,-0.967421566101701,-0.11418529432142838
29,91,-0.6560165283625233,2,0,4,-0.967421566101701,-0.11418529432142838
29,47,-1.5826140257129104,3,0,2,-0.967421566101701,-0.6045853465832371
29,47,-1.512842713307431,4,0,2,-0.967421566101701,-0.6045853465832371
30,157,0.7519403851800741,0,2,7,0.0,0.6045853465832371
30,157,-0.13796554893666602,1,2,7,0.0,0.6045853465832371
30,157,-0.38337836991794594,2,2,7,0.0,0.6045853465832371
30,195,0.5396636427226842,3,2,9,0.0,1.3351777361189363
30,104,1.2222048578390223,4,2,5,0.0,0.11418529432142824
31,184,0.9125864493754869,0,2,9,0.0,1.3351777361189363
31,184,1.7609221834217113,1,2,9,0.0,1.3351777361189363
31,184,1.1975973832074405,2,2,9,0.0,1.3351777361189363
31,184,-0.06444076529790377,3,2,9,0.0,1.3351777361189363
31,180,1.8606591294271793,4,2,9,0.0,1.3351777361189363
32,93,-1.3494984583743257,0,1,4,-0.43072729929545756,-0.11418529432142838
32,45,-1.5671409788719717,1,1,2,-0.43072729929545756,-0.6045853465832371
32,45,-1.9671444531370406,2,1,2,-0.43072729929545756,-0.6045853465832371
32,45,-0.62514355130153,3,1,2,-0.43072729929545756,-0.6045853465832371
32,45,-0.21264757788833122,4,1,2,-0.43072729929545756,-0.6045853465832371
33,121,1.076539684130895,0,3,6,0.43072729929545744,0.3487556955170447
33,165,0.12245903883616371,1,3,8,0.43072729929545744,0.9084578685373853
33,165,1.619200514655534,2,3,8,0.43072729929545744,0.9084578685373853
33,193,3.8020059541245095,3,3,9,0.43072729929545744,1.3351777361189363
33,195,2.1395572458699426,4,3,9,0.43072729929545744,1.3351777361189363
34,152,1.7696733525166397,0,4,7,0.967421566101701,0.6045853465832371
34,195,2.8065417480075014,1,4,9,0.967421566101701,1.3351777361189363
34,148,2.4100095670715156,2,4,7,0.967421566101701,0.6045853465832371
34,130,3.07071616243874,3,4,6,0.967421566101701,0.3487556955170447
34,130,3.616105121061275,4,4,6,0.967421566101701,0.3487556955170447
35,23,-2.6833261248185347,0,0,1,-0.967421566101701,-0.9084578685373851
35,23,-2.9461430385708685,1,0,1,-0.967421566101701,-0.9084578685373851
35,23,-0.3740044000701601,2,0,1,-0.967421566101701,-0.9084578685373851
35,53,-2.133448293120372,3,0,2,-0.967421566101701,-0.6045853465832371
35,53,-1.05590304589218,4,0,2,-0.967421566101701,-0.6045853465832371
36,123,0.4651109614215965,0,2,6,0.0,0.3487556955170447
36,123,-0.9381586823932551,1,2,6,0.0,0.3487556955170447
36,123,1.3069424644945011,2,2,6,0.0,0.3487556955170447
36,123,2.8920142862444687,3,2,6,0.0,0.3487556955170447
36,123,0.6139871555722001,4,2,6,0.0,0.3487556955170447
37,5,-3.7288328426368005,0,0,0,-0.967421566101701,-1.335177736118937
37,39,-3.04040942757398,1,0,1,-0.967421566101701,-0.9084578685373851
37,138,-2.11838249004318,2,0,7,-0.967421566101701,0.6045853465832371
37,73,-1.1339529443870124,3,0,3,-0.967421566101701,-0.3487556955170447
37,43,-0.3577522137004463,4,0,2,-0.967421566101701,-0.6045853465832371
38,62,0.14217460727894987,0,2,3,0.0,-0.3487556955170447
38,62,-0.1934089862011449,1,2,3,0.0,-0.3487556955170447
38,121,2.016792452724474,2,2,6,0.0,0.3487556955170447
38,121,2.1576452597459506,3,2,6,0.0,0.3487556955170447
38,166,0.22370249328739533,4,2,8,0.0,0.9084578685373853
39,197,3.7412854026068167,0,4,9,0.967421566101701,1.3351777361189363
39,197,1.4050544395445692,1,4,9,0.967421566101701,1.3351777361189363
39,170,0.4825055738265529,2,4,8,0.967421566101701,0.9084578685373853
39,184,2.917374067776813,3,4,9,0.967421566101701,1.3351777361189363
39,191,1.9463623338635192,4,4,9,0.967421566101701,1.3351777361189363
40,77,0.18859227986832394,0,0,3,-0.967421566101701,-0.3487556955170447
40,81,-1.6856998123378513,1,0,4,-0.967421566101701,-0.11418529432142838
40,81,-1.449983796842964,2,0,4,-0.967421566101701,-0.11418529432142838
40,14,-2.786387555711709,3,0,0,-0.967421566101701,-1.335177736118937
40,27,-2.8565907246795246,4,0,1,-0.967421566101701,-0.9084578685373851
41,11,-1.277196050470495,0,1,0,-0.43072729929545756,-1.335177736118937
41,11,-2.4607813634717886,1,1,0,-0.43072729929545756,-1.335177736118937
41,11,-1.5491166278541721,2,1,0,-0.43072729929545756,-1.335177736118937
41,144,1.0244178176685446,3,1,7,-0.43072729929545756,0.6045853465832371
41,133,0.7864411550561007,4,1,6,-0.43072729929545756,0.3487556955170447
42,175,2.1279868220171823,0,4,8,0.967421566101701,0.9084578685373853
42,183,1.4736780124063082,1,4,9,0.967421566101701,1.3351777361189363
42,183,1.7371284158968274,2,4,9,0.967421566101701,1.3351777361189363
42,195,3.7066824847554187,3,4,9,0.967421566101701,1.3351777361189363
42,195,2.692822598151227,4,4,9,0.967421566101701,1.3351777361189363
43,26,-2.0473104665570605,0,0,1,-0.967421566101701,-0.9084578685373851
43,26,-1.3201281624019392,1,0,1,-0.967421566101701,-0.9084578685373851
43,26,-3.7146450824478436,2,0,1,-0.967421566101701,-0.9084578685373851
43,45,-0.9115756763607255,3,0,2,-0.967421566101701,-0.6045853465832371
43,45,-4.015653142466256,4,0,2,-0.967421566101701,-0.6045853465832371
44,170,1.6242230531676753,0,3,8,0.43072729929545744,0.9084578685373853
44,170,2.411794040291004,1,3,8,0.43072729929545744,0.9084578685373853
44,170,1.9140000754368207,2,3,8,0.43072729929545744,0.9084578685373853
44,170,2.5990177871358835,3,3,8,0.43072729929545744,0.9084578685373853
44,170,-0.014462941543688546,4,3,8,0.43072729929545744,0.9084578685373853
45,17,-0.8768616680035737,0,0,0,-0.967421566101701,-1.335177736118937
45,17,-2.581085911313628,1,0,0,-0.967421566101701,-1.335177736118937
45,17,-0.8576671228410053,2,0,0,-0.967421566101701,-1.335177736118937
45,17,-0.29547731569572244,3,0,0,-0.967421566101701,-1.335177736118937
45,176,-0.4033151075237217,4,0,8,-0.967421566101701,0.9084578685373853
46,10,-1.4994989982796079,0,0,0,-0.967421566101701,-1.335177736118937
46,53,-1.6525829378672299,1,0,2,-0.967421566101701,-0.6045853465832371
46,53,-1.1471593607980084,2,0,2,-0.967421566101701,-0.6045853465832371
46,53,-1.2619393606660425,3,0,2,-0.967421566101701,-0.6045853465832371
46,106,0.6434751657848166,4,0,5,-0.967421566101701,0.11418529432142824
47,112,0.21442687194821397,0,3,5,0.43072729929545744,0.11418529432142824
47,112,-0.4908271198694294,1,3,5,0.43072729929545744,0.11418529432142824
47,112,-0.10366368672951509,2,3,5,0.43072729929545744,0.11418529432142824
47,112,0.9850672130992472,3,3,5,0.43072729929545744,0.11418529432142824
47,152,2.66614374479917,4,3,7,0.43072729929545744,0.6045853465832371
48,164,1.8616338471560416,0,4,8,0.967421566101701,0.9084578685373853
48,138,1.762790602832697,1,4,7,0.967421566101701,0.6045853465832371
48,138,3.6262533164915536,2,4,7,0.967421566101701,0.6045853465832371
48,158,1.8521436515238097,3,4,8,0.967421566101701,0.9084578685373853
48,128,1.8632240897248855,4,4,6,0.967421566101701,0.3487556955170447
49,161,2.7637187771011047,0,4,8,0.967421566101701,0.9084578685373853
49,78,0.44076963055953366,1,4,3,0.967421566101701,-0.3487556955170447
49,78,1.1044834800624477,2,4,3,0.967421566101701,-0.3487556955170447
49,78,0.09416365528067538,3,4,3,0.967421566101701,-0.3487556955170447
49,181,0.008866287294814423,4,4,9,0.967421566101701,1.3351777361189363
50,127,-0.779709960025118,0,1,6,-0.43072729929545756,0.3487556955170447
50,190,1.7661923196077631,1,1,9,-0.43072729929545756,1.3351777361189363
50,177,-0.05677788299308589,2,1,8,-0.43072729929545756,0.9084578685373853
50,24,-0.9943380669388895,3,1,1,-0.43072729929545756,-0.9084578685373851
50,7,-1.4316245410503745,4,1,0,-0.43072729929545756,-1.335177736118937
51,96,-2.946010507146756,0,0,4,-0.967421566101701,-0.11418529432142838
51,96,-0.2659952663347256,1,0,4,-0.967421566101701,-0.11418529432142838
51,96,-3.8435504770435682,2,0,4,-0.967421566101701,-0.11418529432142838
51,96,-1.7106052308284634,3,0,4,-0.967421566101701,-0.11418529432142838
51,96,1.450634384041921,4,0,4,-0.967421566101701,-0.11418529432142838
52,101,-1.3082082787063762,0,2,5,0.0,0.11418529432142824
52,100,-1.3819130646670001,1,2,5,0.0,0.11418529432142824
52,18,-2.17571280773578,2,2,0,0.0,-1.335177736118937
52,18,-2.142930030550713,3,2,0,0.0,-1.335177736118937
52,52,-1.5460069076915817,4,2,2,0.0,-0.6045853465832371
53,193,1.7258252649262866,0,4,9,0.967421566101701,1.3351777361189363
53,193,2.9814284114869447,1,4,9,0.967421566101701,1.3351777361189363
53,193,2.054774586703424,2,4,9,0.967421566101701,1.3351777361189363
53,195,2.9981736844730604,3,4,9,0.967421566101701,1.3351777361189363
53,195,1.7811436182250477,4,4,9,0.967421566101701,1.3351777361189363
54,177,2.461536319417509,0,3,8,0.43072729929545744,0.9084578685373853
54,177,1.7100861504625606,1,3,8,0.43072729929545744,0.9084578685373853
54,168,2.091081401721064,2,3,8,0.43072729929545744,0.9084578685373853
54,168,1.1291677730948564,3,3,8,0.43072729929545744,0.9084578685373853
54,180,2.5430283025046765,4,3,9,0.43072729929545744,1.3351777361189363
55,108,1.5253842367249149,0,2,5,0.0,0.11418529432142824
55,108,1.8030576546705515,1,2,5,0.0,0.11418529432142824
55,105,0.6627405394144773,2,2,5,0.0,0.11418529432142824
55,156,2.88402854220645,3,2,7,0.0,0.6045853465832371
55,156,1.0763501819937917,4,2,7,0.0,0.6045853465832371
56,122,-0.24872953272069975,0,3,6,0.43072729929545744,0.3487556955170447
56,122,-0.3176031263608585,1,3,6,0.43072729929545744,0.3487556955170447
56,122,1.02043143224722,2,3,6,0.43072729929545744,0.3487556955170447
56,122,0.22372914042319592,3,3,6,0.43072729929545744,0.3487556955170447
56,0,-1.140461156601123,4,3,0,0.43072729929545744,-1.335177736118937
57,175,2.570230160371659,0,2,8,0.0,0.9084578685373853
57,175,1.5971980591008603,1,2,8,0.0,0.9084578685373853
57,175,0.7105819858876765,2,2,8,0.0,0.9084578685373853
57,151,-0.2558091479688952,3,2,7,0.0,0.6045853465832371
57,151,1.086563556238213,4,2,7,0.0,0.6045853465832371
58,41,-1.2130343526245149,0,2,2,0.0,-0.6045853465832371
58,41,-0.5540150420444281,1,2,2,0.0,-0.6045853465832371
58,41,0.6806744738740407,2,2,2,0.0,-0.6045853465832371
58,33,-1.7798608784704375,3,2,1,0.0,-0.9084578685373851
58,14,-1.6572511801363834,4,2,0,0.0,-1.335177736118937
59,95,-0.9393258394652202,0,4,4,0.967421566101701,-0.11418529432142838
59,142,1.6150850843174689,1,4,7,0.967421566101701,0.6045853465832371
59,183,0.8295948983652346,2,4,9,0.967421566101701,1.3351777361189363
59,179,4.755613420184924,3,4,9,0.967421566101701,1.3351777361189363
59,186,3.041717003890758,4,4,9,0.967421566101701,1.3351777361189363
60,178,-0.7091167227660904,0,3,9,0.43072729929545744,1.3351777361189363
60,68,-0.24131654068164554,1,3,3,0.43072729929545744,-0.3487556955170447
60,68,0.7269893206751681,2,3,3,0.43072729929545744,-0.3487556955170447
60,68,1.3148425427940809,3,3,3,0.43072729929545744,-0.3487556955170447
60,68,-0.9119685216863146,4,3,3,0.43072729929545744,-0.3487556955170447
61,35,0.6223193060053485,0,4,1,0.967421566101701,-0.9084578685373851
61,153,3.2300173727775303,1,4,7,0.967421566101701,0.6045853465832371
61,153,1.3866152614353575,2,4,7,0.967421566101701,0.6045853465832371
61,107,0.7635346366872964,3,4,5,0.967421566101701,0.11418529432142824
61,107,1.3718821588285495,4,4,5,0.967421566101701,0.11418529432142824
62,20,-1.1089927192293663,0,1,1,-0.43072729929545756,-0.9084578685373851
62,20,-0.8470589978412901,1,1,1,-0.43072729929545756,-0.9084578685373851
62,146,-1.1459040320803329,2,1,7,-0.43072729929545756,0.6045853465832371
62,161,0.6966051651475111,3,1,8,-0.43072729929545756,0.9084578685373853
62,120,0.49258867145814045,4,1,6,-0.43072729929545756,0.3487556955170447
63,90,-2.1945174610590668,0,1,4,-0.43072729929545756,-0.11418529432142838
63,90,-2.4605804163035914,1,1,4,-0.43072729929545756,-0.11418529432142838
63,153,1.6049647298576575,2,1,7,-0.43072729929545756,0.6045853465832371
63,153,1.754087376167686,3,1,7,-0.43072729929545756,0.6045853465832371
63,153,1.5891784943357812,4,1,7,-0.43072729929545756,0.6045853465832371
64,86,1.53190772905,0,4,4,0.967421566101701,-0.11418529432142838
64,169,2.105408795641658,1,4,8,0.967421566101701,0.9084578685373853
64,169,3.377678201960155,2,4,8,0.967421566101701,0.9084578685373853
64,169,0.3284755818234584,3,4,8,0.967421566101701,0.9084578685373853
64,138,1.7784218722147778,4,4,7,0.967421566101701,0.6045853465832371
65,13,-4.441418855001611,0,0,0,-0.967421566101701,-1.335177736118937
65,36,-0.558013132049475,1,0,1,-0.967421566101701,-0.9084578685373851
65,36,-3.475711370189829,2,0,1,-0.967421566101701,-0.9084578685373851
65,66,-0.0778480896029643,3,0,3,-0.967421566101701,-0.3487556955170447
65,66,-1.8517678209480213,4,0,3,-0.967421566101701,-0.3487556955170447
66,59,-0.4388183238468606,0,0,2,-0.967421566101701,-0.6045853465832371
66,59,-3.3087694736628652,1,0,2,-0.967421566101701,-0.6045853465832371
66,35,-4.396914761020043,2,0,1,-0.967421566101701,-0.9084578685373851
66,35,-2.3905811435171587,3,0,1,-0.967421566101701,-0.9084578685373851
66,35,-0.9418849455029868,4,0,1,-0.967421566101701,-0.9084578685373851
67,185,2.908661116858599,0,4,9,0.967421566101701,1.3351777361189363
67,187,2.251661952470867,1,4,9,0.967421566101701,1.3351777361189363
67,98,1.0811612201628618,2,4,4,0.967421566101701,-0.11418529432142838
67,54,-0.8875160337967282,3,4,2,0.967421566101701,-0.6045853465832371
67,78,0.18169646802630168,4,4,3,0.967421566101701,-0.3487556955170447
68,198,2.8019123208680585,0,4,9,0.967421566101701,1.3351777361189363
68,158,0.9077247252370597,1,4,8,0.967421566101701,0.9084578685373853
68,180,1.44352632729486,2,4,9,0.967421566101701,1.3351777361189363
68,185,2.690959268432998,3,4,9,0.967421566101701,1.3351777361189363
68,185,0.842950194877867,4,4,9,0.967421566101701,1.3351777361189363
69,2,-1.4654591208062517,0,0,0,-0.967421566101701,-1.335177736118937
69,20,-3.26651657775537,1,0,1,-0.967421566101701,-0.9084578685373851
69,60,-1.7460650850813326,2,0,3,-0.967421566101701,-0.3487556955170447
69,60,-2.6321568289351367,3,0,3,-0.967421566101701,-0.3487556955170447
69,60,0.3335943020339225,4,0,3,-0.967421566101701,-0.3487556955170447
70,69,-2.1154977121049114,0,0,3,-0.967421566101701,-0.3487556955170447
70,69,-0.3995143651873705,1,0,3,-0.967421566101701,-0.3487556955170447
70,69,-1.6286528110226195,2,0,3,-0.967421566101701,-0.3487556955170447
70,69,-1.242116264943841,3,0,3,-0.967421566101701,-0.3487556955170447
70,69,-1.244150337198652,4,0,3,-0.967421566101701,-0.3487556955170447
71,167,1.7647825620049278,0,4,8,0.967421566101701,0.9084578685373853
71,167,3.5705554444730083,1,4,8,0.967421566101701,0.9084578685373853
71,149,4.136307837674048,2,4,7,0.967421566101701,0.6045853465832371
71,149,1.0222930417354488,3,4,7,0.967421566101701,0.6045853465832371
71,68,0.929316473490205,4,4,3,0.967421566101701,-0.3487556955170447
72,136,-0.13762337251844636,0,3,6,0.43072729929545744,0.3487556955170447
72,176,1.5658063539126343,1,3,8,0.43072729929545744,0.9084578685373853
72,57,0.061713859387808656,2,3,2,0.43072729929545744,-0.6045853465832371
72,23,-0.9204275000519848,3,3,1,0.43072729929545744,-0.9084578685373851
72,23,0.09000860244411196,4,3,1,0.43072729929545744,-0.9084578685373851
73,0,-1.4461663846899246,0,3,0,0.43072729929545744,-1.335177736118937
73,0,-1.3719633579356894,1,3,0,0.43072729929545744,-1.335177736118937
73,0,-0.36936262441698453,2,3,0,0.43072729929545744,-1.335177736118937
73,0,-0.5185893370068946,3,3,0,0.43072729929545744,-1.335177736118937
73,8,-2.1266149816726463,4,3,0,0.43072729929545744,-1.335177736118937
74,111,-0.7123721898166451,0,2,5,0.0,0.11418529432142824
74,83,-0.09443897121353048,1,2,4,0.0,-0.11418529432142838
74,83,-0.8955681660266768,2,2,4,0.0,-0.11418529432142838
74,51,0.8769914963268659,3,2,2,0.0,-0.6045853465832371
74,51,-2.1039193266840384,4,2,2,0.0,-0.6045853465832371
75,60,-1.3647111664586817,0,3,3,0.43072729929545744,-0.3487556955170447
75,60,-0.5667994039000269,1,3,3,0.43072729929545744,-0.3487556955170447
75,60,1.2704229727205423,2,3,3,0.43072729929545744,-0.3487556955170447
75,34,-1.4978969402990923,3,3,1,0.43072729929545744,-0.9084578685373851
75,111,0.29903280240306307,4,3,5,0.43072729929545744,0.11418529432142824
76,11,-0.9083785983222266,0,0,0,-0.967421566101701,-1.335177736118937
76,28,-1.7622326913301896,1,0,1,-0.967421566101701,-0.9084578685373851
76,28,-2.0613013851810447,2,0,1,-0.967421566101701,-0.9084578685373851
76,28,-2.493489442096786,3,0,1,-0.967421566101701,-0.9084578685373851
